LogID,UserID,Role,Timestamp,HTTP_Method,Endpoint,IP_Address,User_Agent,HTTP_Response,Anomalous,Hour,IP_First_Octet,IP_Second_Octet,IP_Third_Octet,IP_Fourth_Octet,Date,IP_Octets,IP_Combined,UserID_Zscore
c4abfd6e-57ea-44b2-b165-9fa674e19e4e,42,Nurse,2025-01-01 10:56:58,DELETE,/lab/results/8714,10.0.0.184,Mozilla/5.0 (X11; Linux x86_64),200,0,10,10,0,0,184,2025-01-01,"[10, 0, 0, 184]",10.0.0.184,0.6967380462604463
0d95a0e6-55d0-4661-bdf2-28e0ee861b96,61,Staff,2024-11-22 01:38:05,DELETE,/lab/tests/9417,10.0.0.95,Mozilla/5.0 (X11; Linux x86_64),200,0,1,10,0,0,95,2024-11-22,"[10, 0, 0, 95]",10.0.0.95,0.5232037874186839
21b6f3c0-c248-4577-b4a9-3653be4b4779,32,Nurse,2024-11-20 01:17:43,DELETE,/patient/records/5195?export=true&limit=1000,10.0.0.62,Mozilla/5.0 (X11; Linux x86_64),200,0,1,10,0,0,62,2024-11-20,"[10, 0, 0, 62]",10.0.0.62,1.3388126955652517
e20eaa0a-63b0-47f4-b8ca-df3245c109ab,46,Staff,2025-01-13 15:57:38,DELETE,/login/attempts/46?attempts=5,133.196.180.164,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),200,1,15,133,196,180,164,2025-01-13,"[133, 196, 180, 164]",133.196.180.164,0.4399081865385242
2964f62d-ddec-4068-b9ae-7c6befcc2504,65,Nurse,2024-11-21 07:06:56,DELETE,/lab/tests/9643,10.0.0.196,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),200,0,7,10,0,0,196,2024-11-21,"[10, 0, 0, 196]",10.0.0.196,0.7800336471406061
56e2ca1b-2ea5-45db-839d-4ca2b0075cf5,67,Admin,2024-12-21 21:46:41,DELETE,/login/attempts/67?attempts=5,65.166.203.184,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),200,1,21,65,166,203,184,2024-12-21,"[65, 166, 203, 184]",65.166.203.184,0.9084485770015671
15e78de7-334d-43e9-9526-9bd5172b5041,51,Doctor,2024-11-22 08:24:08,DELETE,/patient/labs/5497,10.0.0.168,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0,8,10,0,0,168,2024-11-22,"[10, 0, 0, 168]",10.0.0.168,0.11887086188612149
fd09eb38-e15f-4d74-8c7a-5917c9ccd8d5,55,Staff,2024-12-24 23:30:47,DELETE,/billing/invoices/4325?export=true&limit=500,10.0.0.238,curl/7.68.0,200,0,23,10,0,0,238,2024-12-24,"[10, 0, 0, 238]",10.0.0.238,0.13795899783580068
8e157c56-6928-4cb4-89cb-e6819e2f50c8,44,Doctor,2024-11-11 14:07:09,DELETE,/admin/credentials/67,10.0.0.203,Python-urllib/3.9,200,1,14,10,0,0,203,2024-11-11,"[10, 0, 0, 203]",10.0.0.203,0.5683231163994853
3b9bc716-8ff8-46fa-9f35-bcd7d0a4c521,68,Nurse,2025-01-14 04:41:39,DELETE,/patient/insurance,10.0.0.180,Mozilla/5.0 (Windows NT 10.0; Win64; x64),200,0,4,10,0,0,180,2025-01-14,"[10, 0, 0, 180]",10.0.0.180,0.9726560419320477
e64b2239-9a7a-4293-bec1-38a9be922caf,64,Doctor,2024-10-22 08:50:28,DELETE,/billing/invoices/8615?export=true&limit=500,10.0.0.194,Python-urllib/3.9,200,0,8,10,0,0,194,2024-10-22,"[10, 0, 0, 194]",10.0.0.194,0.7158261822101255
ae62436d-8469-4dda-ab85-57581d54681a,62,Staff,2024-12-21 10:49:55,DELETE,/inventory/items/6736?export=true&limit=300,10.0.0.240,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),200,0,10,10,0,0,240,2024-12-21,"[10, 0, 0, 240]",10.0.0.240,0.5874112523491645
7821cd4e-a935-4fbc-afac-7e14972e0329,39,Doctor,2024-12-14 21:35:02,PUT,/admin/credentials/70,10.0.0.175,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",404,1,21,10,0,0,175,2024-12-14,"[10, 0, 0, 175]",10.0.0.175,0.8893604410518879
df5ce0c1-2f4b-4401-be84-48fb98c37dcc,50,Nurse,2024-11-14 03:31:19,DELETE,/patient/labs/5171,10.0.0.80,curl/7.68.0,200,0,3,10,0,0,80,2024-11-14,"[10, 0, 0, 80]",10.0.0.80,0.18307832681660202
