Endpoint,HTTP_Method,Count
/admin/credentials/61,HEAD,3
/admin/credentials/61,OPTIONS,6
/admin/credentials/61,PATCH,5
/admin/credentials/62,HEAD,5
/admin/credentials/62,OPTIONS,5
/admin/credentials/62,PATCH,4
/admin/credentials/63,HEAD,3
/admin/credentials/63,OPTIONS,7
/admin/credentials/63,PATCH,5
/admin/credentials/64,DELETE,6
/admin/credentials/64,HEAD,7
/admin/credentials/64,OPTIONS,6
/admin/credentials/64,PATCH,5
/admin/credentials/65,HEAD,8
/admin/credentials/65,OPTIONS,7
/admin/credentials/65,PATCH,3
/admin/credentials/66,DELETE,8
/admin/credentials/66,HEAD,5
/admin/credentials/66,OPTIONS,9
/admin/credentials/66,PATCH,3
/admin/credentials/67,HEAD,4
/admin/credentials/67,PATCH,7
/admin/credentials/68,HEAD,7
/admin/credentials/68,OPTIONS,4
/admin/credentials/68,PATCH,5
/admin/credentials/69,HEAD,9
/admin/credentials/69,OPTIONS,5
/admin/credentials/69,PATCH,3
/admin/credentials/70,HEAD,3
/admin/credentials/70,PATCH,6
/admin/logs/61,DELETE,5
/admin/logs/61,HEAD,6
/admin/logs/61,OPTIONS,7
/admin/logs/61,PATCH,4
/admin/logs/62,HEAD,7
/admin/logs/62,OPTIONS,4
/admin/logs/62,PATCH,6
/admin/logs/62,PUT,9
/admin/logs/63,HEAD,4
/admin/logs/63,PATCH,4
/admin/logs/64,DELETE,9
/admin/logs/64,HEAD,9
/admin/logs/64,OPTIONS,4
/admin/logs/64,PATCH,4
/admin/logs/65,DELETE,2
/admin/logs/65,HEAD,5
/admin/logs/65,PATCH,5
/admin/logs/66,DELETE,5
/admin/logs/66,HEAD,3
/admin/logs/66,OPTIONS,6
/admin/logs/66,PATCH,5
/admin/logs/67,DELETE,9
/admin/logs/67,HEAD,7
/admin/logs/67,OPTIONS,4
/admin/logs/67,PATCH,8
/admin/logs/68,DELETE,8
/admin/logs/68,HEAD,7
/admin/logs/68,OPTIONS,3
/admin/logs/68,PATCH,5
/admin/logs/69,HEAD,3
/admin/logs/69,OPTIONS,6
/admin/logs/69,PATCH,2
/admin/logs/70,HEAD,9
/admin/logs/70,OPTIONS,9
/admin/logs/70,PATCH,4
/admin/settings/61,HEAD,9
/admin/settings/61,OPTIONS,7
/admin/settings/61,PATCH,4
