LogID,UserID,Timestamp,Endpoint,HTTP_Response,Hour,DayOfWeek,Is_After_Hours,Is_Internal_IP,Role_Doctor,Role_Nurse,Role_Staff,HTTP_Method_GET,HTTP_Method_HEAD,HTTP_Method_OPTIONS,HTTP_Method_PATCH,HTTP_Method_POST,HTTP_Method_PUT,Anomalous
995e1990-2afd-40d1-b03e-e5f728c2a48c,0,2024-11-16 20:30:51,0,500,20,5,0,1,False,True,False,True,False,False,False,False,False,1
cdd4f277-f128-4dfe-9cf9-f82929b7ffbb,1,2024-11-27 18:42:09,1,403,18,2,0,1,False,False,False,True,False,False,False,False,False,1
d2f6263b-f82e-4ccf-9002-f3a586e929b0,2,2024-12-08 19:54:41,2,200,19,6,0,1,True,False,False,True,False,False,False,False,False,0
00e0e876-56d4-4304-b9a6-05c00a073b72,3,2024-12-17 14:56:16,3,200,14,1,0,1,False,False,False,False,False,False,False,True,False,1
5c3e350a-daa2-4b59-8b51-b8c83990cf86,4,2024-12-13 23:07:55,4,403,23,4,1,1,True,False,False,False,False,False,False,False,False,1
063584c6-2d9a-43a6-a19c-dcd63cb78a6e,4,2024-11-27 08:30:03,4,403,8,2,0,1,True,False,False,False,False,False,False,False,False,1
fb889064-5926-4dcc-bfd5-5e597d4c0e69,4,2024-12-27 07:55:32,4,403,7,4,0,1,True,False,False,False,False,False,False,False,False,1
6cc77344-11c1-4ba0-8755-8f45850a078d,4,2024-10-30 11:10:23,4,403,11,2,0,1,True,False,False,False,False,False,False,False,False,1
29ef028b-05bc-48cc-aa3a-cafb22d1a6b4,4,2024-12-13 03:20:19,4,403,3,4,1,1,True,False,False,False,False,False,False,False,False,1
0a82e12e-c1de-48d5-b3a0-a6305bf8d669,5,2025-01-19 05:21:44,5,200,5,6,1,1,False,False,True,False,False,False,False,False,False,1
7ab76840-451a-49dc-bfe3-585a473c8b09,6,2024-12-05 08:44:51,6,500,8,3,0,1,True,False,False,True,False,False,False,False,False,1
3c990649-9608-4908-9618-4304b952f62d,7,2024-11-14 01:31:32,7,200,1,3,1,1,False,False,True,True,False,False,False,False,False,0
c492368c-c9c5-443f-ba5f-fbc7b8d2b381,8,2024-12-31 06:30:47,4,403,6,1,0,1,True,False,False,False,False,False,False,False,False,1
a6f73f8c-d316-43ea-88f7-d7ce5f7a5f27,8,2024-11-16 18:25:48,4,403,18,5,0,1,True,False,False,False,False,False,False,False,False,1
b5452ddb-d4c3-4624-914a-c1289db7f59d,8,2024-11-12 15:38:07,4,403,15,1,0,1,True,False,False,False,False,False,False,False,False,1
da7ffad4-1c2a-432b-bffb-52feccd67421,8,2025-01-10 11:56:30,4,403,11,4,0,0,True,False,False,False,False,False,False,False,False,1
d021e6e1-be1b-4e4b-9609-8793039c519e,8,2024-11-26 07:58:42,4,403,7,1,0,0,True,False,False,False,False,False,False,False,False,1
293ff6e6-de11-4916-a970-c0001116db53,9,2024-12-28 15:40:46,8,404,15,5,0,1,False,True,False,True,False,False,False,False,False,1
4ac4f7c0-9c05-488a-b76d-5f77d95fba0f,10,2024-10-28 16:57:13,9,200,16,0,0,1,False,False,False,False,False,False,False,True,False,0
4e30c9b0-acab-4ca3-a488-ae68c0e785b7,9,2024-12-08 11:43:55,10,404,11,6,0,1,False,True,False,False,False,False,False,False,True,1
db3c39c9-b153-4695-9f7a-4f289f4b76a2,11,2024-12-01 05:20:13,11,200,5,6,1,1,False,True,False,True,False,False,False,False,False,0
61064028-da67-44da-86a2-bcb2fc609758,12,2024-12-26 00:25:32,12,403,0,3,1,1,False,False,False,False,False,False,False,False,False,1
fabf0afc-05e6-4298-8d5c-d50f053db671,13,2025-01-14 06:26:18,13,500,6,1,0,1,False,True,False,False,False,False,False,False,False,1
0ecb8ace-f5f2-49f4-b5a2-94f9ee62a30f,14,2025-01-05 10:50:49,14,200,10,6,0,1,False,False,True,False,False,False,False,True,False,0
a251bfa9-1a71-4090-a6a5-4bac4cc56225,15,2025-01-07 13:29:57,15,403,13,1,0,1,False,True,False,False,False,False,False,True,False,1
183377ce-b106-410e-be6f-608a7c655bdc,16,2024-12-27 09:17:18,16,200,9,4,0,1,False,True,False,False,False,False,False,False,True,1
502044a2-cb0b-4c39-b59c-dd8fe5467820,17,2024-11-25 12:58:36,17,403,12,0,0,1,False,False,False,False,False,False,False,False,True,1
3edccbf1-071f-4df5-9a04-7010a3bb7dff,18,2024-11-05 06:52:30,18,200,6,1,0,1,True,False,False,True,False,False,False,False,False,0
f7392204-0ea3-4e18-819d-481164c482a4,19,2024-12-04 05:59:08,19,404,5,2,1,1,False,False,False,False,False,False,False,False,False,1
ad8e7a76-7ea8-44ab-9aac-fe97f8e026a6,20,2025-01-14 13:32:51,4,403,13,1,0,1,False,False,False,False,False,False,False,False,False,1
fac0bb98-0c16-452e-90c8-eae2401d18c8,20,2024-12-18 05:48:52,4,403,5,2,1,1,False,False,False,False,False,False,False,False,False,1
a52cd6db-9c29-4383-b815-5c81109d71d6,20,2024-11-09 13:32:08,4,403,13,5,0,1,False,False,False,False,False,False,False,False,False,1
04dd996d-c999-4484-8935-32f57ceb3d05,20,2025-01-01 20:09:43,4,403,20,2,0,0,False,False,False,False,False,False,False,False,False,1
fbcd2de2-3984-40cc-8547-760a119ba0ff,20,2025-01-05 10:49:03,4,403,10,6,0,1,False,False,False,False,False,False,False,False,False,1
5091bb31-9fb5-46a4-b358-24643ccd547b,21,2024-11-15 08:15:51,20,200,8,4,0,1,True,False,False,False,False,False,False,True,False,0
a71738e5-ee4a-470b-87a1-0997d561b7e9,9,2024-12-24 07:25:51,21,304,7,1,0,1,False,True,False,True,False,False,False,False,False,0
a86a4294-6c44-4381-9f8e-e0f1a9264f8c,22,2025-01-20 00:53:53,22,200,0,0,1,1,False,False,False,False,False,False,False,False,True,1
efb7a776-d368-46f1-b2f5-aaac50fc6a74,23,2024-11-22 11:05:26,23,200,11,4,0,1,False,True,False,False,False,False,False,False,False,0
203a6668-737b-4cae-b7c5-2e2b3d179e7b,24,2025-01-05 06:13:58,24,200,6,6,0,1,False,True,False,False,False,False,False,False,True,1
8b9b631f-7d9b-4fa8-9995-0b4acf585355,25,2024-11-03 09:55:01,25,201,9,6,0,1,False,True,False,True,False,False,False,False,False,0
a70eb1d6-9fc4-4aca-8e7f-de1c352f24d9,26,2024-11-10 21:49:37,26,404,21,6,1,1,False,True,False,False,False,False,False,False,False,1
376210d9-5d00-4cb9-b8af-6bec0500720f,24,2025-01-02 20:03:55,27,500,20,3,0,1,False,True,False,True,False,False,False,False,False,1
485d8ab6-2d85-4d35-9ba9-a536637b1080,27,2025-01-19 22:40:48,28,500,22,6,1,1,True,False,False,False,False,False,False,False,True,1
8b77df18-d1f4-4cd4-a763-2e200a5b4a2a,28,2025-01-05 14:07:49,29,404,14,6,0,1,False,False,True,True,False,False,False,False,False,1
a7992d76-d966-4d87-9a65-94197fd28ae8,29,2024-11-05 20:57:36,30,500,20,1,0,1,False,False,True,False,False,False,False,False,False,1
aad866b0-577f-409c-b342-e6578c9c69f4,18,2024-11-26 14:49:02,31,404,14,1,0,1,True,False,False,True,False,False,False,False,False,1
2052ad97-e879-4441-917e-8e94fdf2be58,13,2024-12-27 02:19:08,32,403,2,4,1,1,False,True,False,False,False,False,False,False,True,1
